Sentence,Label
 A bit sad that it gets dark so early but oh well,emotion
 A couple projects that I am trying to finish up before Thanksgiving ðŸ™‚ Do you have any fun plans for the break,entertainment
" a relative is coming to visit for thanksgiving though just going to hang out around here and eat Turkey
",food
" ðŸ™‚ I want to start fermenting things kimchi for example sounds like a fun thing to ferment takes a few days apparently miso takes a couple years to fermen
",entertainment
 ah a mix of both conference and sight-seeing ðŸ™‚ anything beautiful sight-seeing places or good food I should try,food
 All of this talk about food is making me hungry,food
 All their food is green and the plates are green too,food
" Also, planning is fun",entertainment
 any food you're craving for,food
" Are you a food person, a sightseeing person or neither",food
 Are you planning anything fun for December,entertainment
 Are you planning something fun for Thanksgiving,entertainment
" Asian food prefer spicy one
",food
 Best part is you can claim you are eating vegetables as you enjoy it,food
" But hey, these days there are many types of guilt-free sweet food",food
" But it was fun to watch with friends ðŸ™‚ It was touching at the end of the movie
",entertainment
 But who doesn't love sweet food,food
" But yeah, me too, I think I'd eat pastries all the time if I could get away with it",food
 Did you catch the Warriors game last night btw,entertainment
 Did you do anything fun over the weekend,entertainment
 Did you have any fun things you did,entertainment
 Do you know any good places to eat for lunch,food
 Do you know what kind of medicine you want to practice,medical
 Do you like spicy food,food
 Do you play a lot of video games,entertainment
 Do you play pingpong often,entertainment
 Do you play soccer often,entertainment
" Don't drink and zipline, mate",food
" eating sleeping ðŸ™‚
",food
 Europe sounds fun,entertainment
 Ever see them play,entertainment
 Giants game,entertainment
 Great food in both cities,food
 haha Have any fun weekend plans yourself,entertainment
 Haha XD so what do you like to do for fun,entertainment
" Hello, Nice to meet you If you could eat only one food for the rest of time, what would it be",food
 Hmm you like spicy food,food
 Hokey is actually really fun live,entertainment
 Hope you are having fun doing that ðŸ™‚ Any plans for the weekend,entertainment
 Hope you have fun with your trip,entertainment
 I also got the Ring Fit adventure game on the switch recently,entertainment
 I asked the stranger if he had a pain,medical
 I can't remember if we actually contacted the spirit world because I had a bit too much to drink,food
 I don't drink coffee and I only drink tea when I'm trying to be healthy and want something warm to drink,food
" I don't really get a chance to play them often though, specially racquetball
",entertainment
" I enjoy eating ðŸ™‚ so definitely would like to try your best chocolate cookie
",food
 I go to the gym and run until I find enough fun,entertainment
 I got tickets for the game,entertainment
" I had a strong intuitive feeling connected to pastries when we started chatting, but that might have been because Iâ€™m hungry",food
 I heard Christmas eve they have loads of fun events,entertainment
 I hope to volunteer to cook for the team in our next team offsite :) can't wait to try your food,food
 I just won a pingpong game,entertainment
" I know a lot of folks travel for the holidays, but I'm happy to stay home myself",emotion
" I like pottery because I also drink a lot of tea, so I get to make some tea ware",food
 I like to read for fun,entertainment
" I love NYC ðŸ™‚ so fun to visit yeah I would probably also say New York is my favorite city inside the US I also like Paris, it's so pretty there
",entertainment
 I never played before but it was a bunch of fun,entertainment
 I once sat next to a man in a coffee and I felt a pain in my back,medical
" I only know Ramen places for Japanese food ðŸ™‚ ooh ramen is also good
",food
 I play bit of guitar,entertainment
 I read a lot for fun too ðŸ™‚ My favorite genre is sci-fi fantasy,entertainment
" I really like to play tennis, badminton and racquetball",entertainment
" I sometimes eat noodle soups in thanksgiving instead haha yeah, I would have noodles anyday over turkey",food
" I still can't play them for a long time though right, but bar chords are so versatile, almost like cheating as in you can play anything with the same gesture
",entertainment
" I think badminton would be fun to help out with I used to play it with my siblings
",entertainment
 I think I'm getting sick with a cold ðŸ˜ž So you should chill on my behalf too cause I'm out the game for all of December,entertainment
 I think playing a team sport would be fun if it's casual but I primarily run by myself if I exercise,entertainment
 I will just stay home and watch the game,entertainment
" If you could only eat one food forever, what would it be",food
" If you said an everything pizza, you could just pick off the toppings you didn't want or eat only the toppings you would want for the day
",food
 I'm a bit sad,emotion
 I'm a food person I think,food
 I'm gonna go snorkeling yey Sounds fun,entertainment
 I'm meeting some friends for a soccer game soon,entertainment
 Is it hard to find a place to play soccer or tennis indoors,entertainment
 It has good Japanese food if you're into that,food
 It really makes me sad,emotion
 It took me several months to play them well,entertainment
 It was a lot of fun,entertainment
 It was really fun,entertainment
 it was really fun,entertainment
 It will be fun,entertainment
 Its fun oh wow a full obstable course,entertainment
" It's fun to play anything with friends, I think",entertainment
 It's kind of like drinking melted chocolate bars haha I recently tried it for the first time and you're right - it had a wonderful melted chocolate bar taste,food
" it's more fun to do it with friends
",entertainment
 it's nice I guess ðŸ™‚ lots of great food,food
 Just getting ready to watch a basketball game,entertainment
" Just got my first monitor this week nice I'm tyring to learn guitar recently also, it's so hard to play f chord
",entertainment
 lots of fun stuff,entertainment
 Lots of meetings as well ðŸ™‚ Do you have any fun plans for Thanksgiving,entertainment
 My favorite food is Chinese,food
" oh no, so it's not happy ending",emotion
" oh wow, that sounds like so much fun",entertainment
" only eat them ðŸ˜€
",food
 Pictionary is fun,entertainment
 Rock climbing sounds fun,entertainment
" So I guess it is happy ending
",emotion
" So I'm a mix of helpless, sad, and angry",emotion
" So yup it was great Haha, nice ðŸ™‚ Got any fun plans for the weekend",entertainment
 sounds fun,entertainment
 Sounds like fun,entertainment
 stay happy; I think family and friends play a big role here,entertainment
 Tell me a joke,entertainment
 that does sound fun,entertainment
 That sounds fun,entertainment
" That's interesting, borderline spooky There's this practice called ""Treasure Hunting"" that's kind of a fun game you play in a public place",entertainment
 that's really sad,emotion
 that's still pretty fun are you going to cook the turkey yourself,entertainment
 The game is brutal like that,entertainment
 the game takes a very long time to finish though,entertainment
 The main difference is that both players play in the same 'court' and the ball is smashed against a wall instead of passing it over a net into the opponent's court,entertainment
" They sell spiders, scorpions, and grasshoppers as street food",food
" this trip will mostly be about food though, and relaxing
",food
 Very excited about the game later today,entertainment
 Was a lot of fun exploring all these new places,entertainment
 we played a lot of fun games in our party,entertainment
" well, the food around the area is amazing, which is definitely a plus",food
 we're gonna play board games and will be eating lots of food,food
 we're gonna play board games and will be eating lots of food,entertainment
 what are y'all eating,food
 what did you play,entertainment
 What does your son like to do for fun,entertainment
 what food do you like to eat,food
 what game,entertainment
" what is mellow style I think it's like a bit sad and slow
",emotion
 What is your favoriate cuisine,food
 What kind of food would you have eaten if it wasn't rainy,food
 What sort of food do you feel like,food
 What types of food do you like to eat,food
 What's your best joke,entertainment
 What's your favourite game,entertainment
" When my top favorite food looks like: cookies, M&M, danish cheese, etc",food
 Where and what did you eat,food
" Wow, must be fun to watch lol Are you planning anything for the weekend",entertainment
 yeah I'm gonna go kayaking Kayaking sounds fun,entertainment
" Yeah of course The fun fact is that the owner of <REDACTED_TERM> used to run <REDACTED_TERM> oh interesting I also like Easterly
",entertainment
" Yeah right, I heard the food there is good",food
" yes happy to help
",emotion
" Yes, no shopping plans but I can't wait to eat thanksgiving food",food
" you need not wait for thanksgiving for pumpkin pie ðŸ™‚ LOL I feel less guilty about eating a whole pie when i have the excuse :P
",food
" You should drink more water, do some push up, and sleep early",food
", I know that I have a thing for sweet food",food
 Doctor I feel weak and do not feel like eating,food
 Do you drink a lot of water,food
 Did you took any medicine,medical
 Good Morning doctor,medical
 Yes doctor,medical
 You have a moderate fever,medical
 The number of dots in front of each medicine name tells you how many times in the day you have to take them,medical
" For example, the two dots here mean you’ve to take the medicine twice in the day, once in the morning and once after dinner",medical
" No, doctor",medical
(The doctor formulates his observations on his letterhead and gives it over to the Patient,medical
 The person then admits the patient and visits the doctor again the next morning with new reports in hand,medical
"Attendant: Thank you, doctor",medical
 It is possible that you had contaminated food,food
" Any medicines, doctor",medical
" Thank you, doctor",medical
